author,createAt,editAt,following,id,name,radioStation,readedAt
"Станислав Лем","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","5","140","Машина Трурля","Станция","1998-03-26T00:00:00+03:00"
"Станислав Лем","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","6","141","Три электрыцаря","Станция","1998-03-26T00:00:00+03:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","142","Долой паразитов!","Станция","1998-04-02T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","143","Песнь звездной любви","Станция","1998-04-02T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","144","Так люди этим занимаются?","Станция","1998-04-02T00:00:00+04:00"
"Роберт Шекли, Харлан Элиссон","2005-08-02T22:33:15+04:00","2025-02-09T15:26:30+03:00","4","145","Я вижу: человек сидит на стуле и стул кусает его за ногу","Станция","1998-04-02T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","1","146","Божественное вмешательство","Станция","1998-04-09T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","2","147","Голоса","Станция","1998-04-09T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","3","148","Желания Силверсмита","Станция","1998-04-09T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","4","149","Мисс Мышка и четвертое измерение","Станция","1998-04-09T00:00:00+04:00"
"Роберт Шекли","2005-08-02T22:33:15+04:00","2005-08-02T22:33:15+04:00","5","150","Утерянное будущее","Станция","1998-04-09T00:00:00+04:00"
